time,k_ts,k_tl,k_mat,k_cat,k_s,kc_s,k_l,k_tlr,k_m,deg_mrna,deg_tlr
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,5.856844870200106e-11,6.23455176373966e-11,1.741261995702459e-11,4.429998382016187e-11,5.5629226919373664e-11,0.0,2.1614814105230806e-10,5.313670736263813e-19,7.540561924868072e-11,0.0,3.020640446213703e-14
5.0,2.9270411094906024e-10,3.1158672864073367e-10,8.701997455951016e-11,2.2141967426225762e-10,2.779847185774287e-10,1.3972327696156351e-14,1.0796735727680584e-09,3.7182967946146796e-18,3.7684919074187917e-10,1.1922017319966247e-15,2.1122972891206987e-13
6.0,8.776980808811174e-10,9.343379403503604e-10,2.609306382073129e-10,6.640183958239732e-10,8.334704593160325e-10,8.366593686305948e-14,3.2358253854170016e-09,1.4337073225489625e-17,1.130011084704563e-09,7.149501869978432e-15,8.139501984742725e-13
7.0,2.0469963502023347e-09,2.179137092994665e-09,6.085366655028679e-10,1.5488150761910902e-09,1.943637029100387e-09,2.922446627143943e-13,7.542817925809686e-09,4.0873134809670385e-17,2.6354418647400735e-09,2.501029101160089e-14,2.3190535863165662e-12
8.0,4.092062244609451e-09,4.356306426700485e-09,1.2164707019479692e-09,3.096508383038099e-09,3.885021193639204e-09,7.777614273105082e-13,1.5070780179371468e-08,9.657595040630165e-17,5.268383951317901e-09,6.665955493753012e-14,5.476240121093934e-12
9.0,7.362239262675985e-09,7.837811288879948e-09,2.1885633305629426e-09,5.571696881645494e-09,6.9889871667783154e-09,1.746470155994384e-12,2.7100716337713493e-08,2.005117039168469e-16,9.478593909761912e-09,1.4990633246444313e-13,1.1363107503548076e-11
10.0,1.2264614213108871e-08,1.3057122494330997e-08,3.6457998842109873e-09,9.282799418031118e-09,1.164156770983027e-08,3.485977565637066e-12,4.512346052365501e-08,3.786138277251012e-16,1.5790165619478103e-08,2.9965746138789495e-13,2.144371138990131e-11
11.0,1.9263879380559956e-08,2.0509075326913262e-08,5.7262785624345725e-09,1.4581975626981603e-08,1.8283303759858427e-08,6.378236914322821e-12,7.083865938284362e-08,6.647313399726776e-16,2.4801357412229663e-08,5.490876850422488e-13,3.7626807919410865e-11
12.0,2.8882201519309092e-08,3.074973520256208e-08,8.585167243779779e-09,2.1865046662128407e-08,2.7409091885033376e-08,1.0912382976402402e-11,1.0615372048050631e-07,1.101674979879703e-15,3.718440311217819e-08,9.408061352536579e-13,6.232377114390175e-11
13.0,4.1699074415646464e-08,4.439624845531398e-08,1.2394661297321363e-08,3.1571417480336095e-08,3.956801464255477e-08,1.769741818369308e-11,1.5318283885790152e-07,1.7422611162953047e-15,5.368535482830339e-08,1.5280192475902732e-12,9.850619625551005e-11
14.0,5.8351197651518305e-08,6.21267162159711e-08,1.7343939617830983e-08,4.4183988023860366e-08,5.536320202281786e-08,2.7474732558485648e-11,2.1424590102014918e-07,2.6503540217392074e-15,7.512388577879392e-08,2.375689705721995e-12,1.497632157176909e-10
15.0,7.953232739055238e-08,8.468004608630508e-08,2.3639127988417385e-08,6.022909815328603e-08,7.545165914280005e-08,4.113049484333331e-11,2.9186756478338793e-07,3.901905128888454e-15,1.0239313752435919e-07,3.5616928243525914e-12,2.2035841207301843e-10
16.0,1.0599315203307924e-07,1.1285583667586252e-07,3.150324801026727e-08,8.027640774344036e-08,1.005441063739454e-07,5.970787059217386e-11,3.8877621477695357e-07,5.585990857696031e-15,1.364595192399065e-07,5.177966996144923e-12,3.152865746258726e-10
17.0,1.3854113944944402e-07,1.475141857554263e-07,4.117617891097325e-08,1.0493887003804048e-07,1.314048461154016e-07,8.441908977419033e-11,5.079029392618395e-07,7.805847372015055e-15,1.7836256915870763e-07,7.331663921805731e-12,4.403299669331062e-10
18.0,1.7804042329316871e-07,1.8957562986088305e-07,5.291462201739705e-08,1.3487260730471462e-07,1.688515993691908e-07,1.1665741983524214e-10,6.523805495817214e-07,1.0679904700948255e-14,2.2921473430415062e-07,1.014629179285631e-11,6.021144693946212e-10
19.0,2.254116679978324e-07,2.400209382358298e-07,6.699204391225067e-08,1.7077685754429694e-07,2.1375531389367097e-07,1.5800889763273318e-10,8.25542599613982e-07,1.4342819060252435e-14,2.902012283811928e-07,1.3762858040722303e-11,8.081652014269025e-10
20.0,2.816319124576694e-07,2.998910417773004e-07,8.369865867052795e-08,2.1339388922569924e-07,2.670400647275528e-07,2.1026402841073377e-10,1.030922476275009e-06,1.894649733868818e-14,3.625798399298219e-07,1.8341005797450904e-11,1.0669621852699152e-09
21.0,3.477344421298767e-07,3.702868127675174e-07,1.0334134969980369e-07,2.6350892312621e-07,3.296828765542159e-07,2.7542926273049773e-10,1.272252234230109e-06,2.4661128784149618e-14,4.476807760056545e-07,2.4060149705906753e-11,1.3879950522266427e-09
22.0,4.2480868955863116e-07,4.5236896539790905e-07,1.2624366263480624e-07,3.2195003996093874e-07,4.027135673823068e-07,3.557382999286318e-10,1.553461629555386e-06,3.167620652539879e-14,5.469065058605338e-07,3.112060262266958e-11,1.781818359525289e-09
23.0,5.140000212122686e-07,5.473580131365452e-07,1.5274575559942605e-07,3.895881093285425e-07,4.872146064371918e-07,4.536634679030982e-10,1.8786776081469725e-06,4.0201559258195435e-14,6.617314625145809e-07,3.974471099454924e-11,2.2601058802251828e-09
24.0,6.165096806398651e-07,6.565339845110429e-07,1.8320432104701467e-07,4.673367470786616e-07,5.843209009981365e-07,5.719266726877947e-10,2.2522224298882065e-06,5.046835074417472e-14,7.937020995996136e-07,5.0177962479525107e-11,2.835704560055774e-09
25.0,7.335946179409802e-07,7.812362810000195e-07,2.1799262128752162e-07,5.561522016250819e-07,6.952197395548865e-07,7.13510306393772e-10,2.6786137823364697e-06,6.273012166137237e-14,9.444365218769235e-07,6.269012392534634e-11,3.522689473456353e-09
26.0,8.665674613439478e-07,9.228638191416394e-07,2.5750037480065657e-07,6.570332971023163e-07,8.211505928557017e-07,8.816681829060258e-10,3.1625629617337836e-06,7.726379079716836e-14,1.1156243999721482e-06,7.757635506200344e-11,4.3364156709913004e-09
27.0,1.0167960908802343e-06,1.0828745189428446e-06,3.021337136033253e-07,7.71021234413638e-07,9.634050002205186e-07,1.0799362515356847e-09,3.708974190885783e-06,9.43706850403507e-14,1.3090267430015956e-06,9.515829790807118e-11,5.293573579479016e-09
28.0,1.1857038089146954e-06,1.2627853038793546e-06,3.5231522588219377e-07,8.991997901830473e-07,1.1233262284804368e-06,1.3121428388274126e-09,4.322943823353853e-06,1.1437752871559792e-13,1.5264756711985683e-06,1.1578522862709661e-10,6.412240072251052e-09
29.0,1.3747692264587386e-06,1.4641721008956665e-06,4.084838280959957e-07,1.0426948620079202e-06,1.3023094425079762e-06,1.5824195287450493e-09,5.009758751839399e-06,1.376374600230157e-13,1.7698745296002016e-06,1.398351157089195e-10,7.711932425991108e-09
30.0,1.5855257515795529e-06,1.6886697267182171e-06,4.710947507646779e-07,1.2026748663629405e-06,1.5018011936263065e-06,1.895210877123077e-09,5.774897545052227e-06,1.6453106780646432e-13,2.0411973764566937e-06,1.6771577182606023e-10,9.213660945306401e-09
31.0,1.8195619304606225e-06,1.9379713194211945e-06,5.406195100476907e-07,1.3803501133224927e-06,1.7232997606697609e-06,2.2552852918522603e-09,6.6240254454896785e-06,1.9546736733551395e-13,2.3424890969181433e-06,1.9986590160669948e-10,1.0939979588897586e-08
32.0,2.0785207652807003e-06,2.2138285658002133e-06,6.175458224788599e-07,1.5769732044645934e-06,1.9683545815496473e-06,2.6677442477307522e-09,7.56299823478912e-06,2.3088478286366343e-13,2.6758650619740365e-06,2.367562534910661e-10,1.2915038816174729e-08
33.0,2.3641005100216717e-06,2.518052042432828e-06,7.02377633388096e-07,1.793838578123541e-06,2.2385656848200597e-06,3.1380327225605242e-09,8.597857231507078e-06,2.712522047254584e-13,3.043510560019058e-06,2.788906328099472e-10,1.51646393220517e-08
34.0,2.678053306226502e-06,2.8525096240628045e-06,7.956350600579754e-07,2.032282736763591e-06,2.535585053919931e-06,3.6719485230207738e-09,9.734832019603346e-06,3.1706999222350096e-13,3.447681592660956e-06,3.268070813966517e-10,1.7716276445867152e-08
35.0,3.0221858651202638e-06,3.2191283025895245e-06,8.97854306458612e-07,2.29368401960528e-06,2.861114808183629e-06,4.275652720764356e-09,1.0980334991472773e-05,3.6887086809524183e-13,3.890703737852164e-06,3.810789184210961e-10,2.0599198791160234e-08
36.0,3.3983592402364593e-06,3.61989191333123e-06,1.0095875495608198e-06,2.5794624889385886e-06,3.216907771275146e-06,4.9556780901127695e-09,1.2340964531176724e-05,4.2722100271515295e-13,4.374972832010826e-06,4.423157951016776e-10,2.384445707548366e-08
37.0,3.8084888274170225e-06,4.056843408761779e-06,1.1314032235532068e-06,2.891080157496617e-06,3.604767243814422e-06,5.7189391000633805e-09,1.3823501831211615e-05,4.927210982968999e-13,4.90295451527345e-06,5.111648326838747e-10,2.7484947651146285e-08
38.0,4.2545434553176165e-06,4.532082130026538e-06,1.2638856787816621e-06,3.2300401926477207e-06,4.026547685498372e-06,6.572741906296642e-09,1.5434912711498328e-05,5.660070936247541e-13,5.4771826398791745e-06,5.88311621640969e-10,3.155547290134564e-08
39.0,4.7385460675286595e-06,5.047766080679139e-06,1.4076349543756805e-06,3.5978878258902114e-06,4.484152668737806e-06,7.524790568425033e-09,1.7182341252919286e-05,6.477514379911453e-13,6.100261543906527e-06,6.744814151637968e-10,3.609278209637523e-08
40.0,5.2625737225753255e-06,5.60611033506575e-06,1.5632672329957131e-06,3.996209215983981e-06,4.979536242899485e-06,8.583200816758563e-09,1.9073113435297273e-05,7.386640669786171e-13,6.774865141778719e-06,7.704399895835934e-10,4.113562468432974e-08
41.0,5.828756002301816e-06,6.20938635620405e-06,1.731414613459492e-06,4.426632585818879e-06,5.514702479558764e-06,9.756504937286081e-09,2.1114738046890125e-05,8.394930258760758e-13,7.503734195779543e-06,8.769950321507736e-10,4.672480358181019e-08
42.0,6.439277058234438e-06,6.859924269519979e-06,1.9127248833683552e-06,4.890826858172659e-06,6.091705927246949e-06,1.1053661097548684e-08,2.3314896679949015e-05,9.510260417719407e-13,8.289680408779532e-06,9.949968626798977e-10,5.29032178064881e-08
43.0,7.096374247339554e-06,7.56011013436364e-06,2.1078617464809213e-06,5.390502337832004e-06,6.712648882967187e-06,1.2484062672513119e-08,2.5681454644654877e-05,1.0740909030249046e-12,9.135584150499199e-06,1.1253394882615453e-09,5.971590155695594e-08
