time,k_ts,k_tl,k_mat,k_cat,k_s,kc_s,k_l,k_tlr,k_m,deg_mrna,deg_tlr
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,6.342003311399225e-11,3.516741065023865e-11,9.87574778898992e-12,3.8457972917349537e-11,5.863547841711281e-11,0.0,2.4948923482703833e-10,4.721520570070657e-19,6.46952283411828e-11,0.0,3.619248794433684e-14
5.0,3.095119716078898e-10,2.2456861370478975e-10,4.731828470716515e-11,1.8777564225747057e-10,2.789002362391102e-10,2.1655022406871262e-14,1.3477967630848298e-09,3.1470603392462784e-18,3.957075223048889e-10,7.054282555333722e-16,3.076506605893814e-13
6.0,8.554673081029307e-10,5.891276355640684e-10,1.464862814382073e-10,6.933428275956999e-10,9.138900747274192e-10,1.3498211337732713e-13,3.4021143680007526e-09,1.2585795383913794e-17,1.0442149367406728e-09,3.880888547401181e-15,1.319730132468e-12
7.0,2.1327073440602362e-09,1.4777887802353007e-09,3.5646702256642016e-10,1.3517239549898363e-09,1.7556858189493596e-09,4.4756892961760053e-13,8.106376903072032e-09,3.377159403627808e-17,2.4818169741536167e-09,1.6078587774886154e-14,3.0004445109033107e-12
8.0,4.653530893961033e-09,2.9070266194253236e-09,7.322499828710249e-10,2.601142634617304e-09,4.010801912812667e-09,1.3364821402350735e-12,1.7024877507765268e-08,8.777306785773273e-17,4.86507456542995e-09,3.998400731602264e-14,7.7768971817882e-12
9.0,7.2944525975060515e-09,5.4683502170860265e-09,1.4697975059263513e-09,5.130638136563448e-09,6.764617310750509e-09,2.709876377113285e-12,2.973311552523228e-08,1.6516077062829888e-16,9.400722866814704e-09,9.185259161343523e-14,1.4057656948229802e-11
10.0,1.4563036998538337e-08,8.799532658088083e-09,2.167710455580618e-09,7.701361326439837e-09,1.1017903034371557e-08,4.732165180543202e-12,5.150964810241021e-08,2.8847215796182495e-16,1.3151758793128465e-08,1.8309431661783782e-13,2.7209994674093352e-11
11.0,1.7132576246581266e-08,1.4000065107211412e-08,3.4929747982914705e-09,1.412689609736617e-08,1.764487045363694e-08,1.0652949876399642e-11,8.031375386963191e-08,5.320200177418868e-16,2.1407055683653198e-08,3.4971610568361455e-13,4.895553407102682e-11
12.0,3.134540449423184e-08,2.0888126783802363e-08,4.850809975920356e-09,1.782142788897545e-08,3.109629531650171e-08,1.6517188658471404e-11,1.1628365825799847e-07,8.608746302827381e-16,3.2463368881963106e-08,6.040619935678004e-13,8.247325045118714e-11
13.0,4.784775242683281e-08,2.8651847117089346e-08,7.665835077830252e-09,2.1850814491131132e-08,3.711011942186815e-08,2.5912121406901356e-11,1.9315197619107494e-07,1.4506860119498912e-15,4.9522306255767035e-08,8.585959092137496e-13,1.4646411861107822e-10
14.0,6.520834006096266e-08,4.509679030206826e-08,1.1225856688668046e-08,3.89554877244791e-08,5.061736629841107e-08,4.849133247719628e-11,2.2371945362920087e-07,2.0585789000629635e-15,6.418024156573665e-08,1.4759630150018577e-12,1.7692085296783233e-10
15.0,8.509231719244781e-08,5.337318143006087e-08,1.3591625602771273e-08,5.3837748481555536e-08,7.406265467579942e-08,5.707353339934329e-11,3.9030246057336626e-07,3.324228023586311e-15,1.0572483688520151e-07,2.0706320772584386e-12,3.0415470142486356e-10
16.0,1.0513674197909495e-07,8.046917798765207e-08,1.952133921179211e-08,6.402537167105038e-08,8.878503621190248e-08,1.0347527001908219e-10,4.92956360176322e-07,4.445575343665995e-15,1.1152294376870486e-07,3.3963233701111983e-12,3.9877620650052847e-10
17.0,1.3928436715104908e-07,8.763291958757691e-08,2.5413422477527092e-08,8.782203053669946e-08,1.6858690798926546e-07,1.2480357025612676e-10,5.575060413320898e-07,5.499098829834896e-15,1.7863773393855809e-07,4.60001784927111e-12,6.208839553600853e-10
18.0,1.5524786078913166e-07,1.2730822618323145e-07,3.106380930262276e-08,1.2771559454449743e-07,1.6228281651819998e-07,1.8118362365981966e-10,7.762829454804887e-07,7.585287615846561e-15,1.966649278983823e-07,6.182724037601117e-12,8.39969427346432e-10
19.0,2.0938726663644047e-07,1.46971260051032e-07,4.715410639732909e-08,1.5526748597949336e-07,2.1995198551394424e-07,2.280164529411266e-10,1.0729708037615637e-06,1.1053194661902067e-14,2.7321604534336075e-07,7.996150616640385e-12,1.1187797355205475e-09
20.0,2.659695894635661e-07,2.107048828747793e-07,4.5922590174996e-08,1.8123922984614182e-07,2.920068311595969e-07,3.6091191146780943e-10,1.3141484487277921e-06,1.7366311635806132e-14,3.291266637006629e-07,1.2448562146383235e-11,1.502316382406832e-09
21.0,4.2611711137396924e-07,2.5808412829064764e-07,6.010447606286107e-08,2.4702515588614915e-07,3.1194889515973045e-07,3.776248203024579e-10,1.5504009525102447e-06,2.2999014666477344e-14,3.679658675537212e-07,1.4255055469369893e-11,1.638180036067638e-09
22.0,5.245223064775928e-07,2.779812291464623e-07,7.316787531408409e-08,2.761286737040791e-07,4.0366572306993476e-07,5.858405427439095e-10,1.9622143554443028e-06,2.6693359030322342e-14,4.875662966696837e-07,1.6871302965792978e-11,2.204123772386879e-09
23.0,5.649109198202495e-07,3.0214954449547804e-07,9.852890059391939e-08,3.444149854203715e-07,4.783022404808435e-07,6.849849576440192e-10,2.459087909301161e-06,3.444044095052279e-14,6.693576324323658e-07,2.476605899526252e-11,2.7820932224642547e-09
24.0,6.148936222416523e-07,4.2484393247832486e-07,1.0232869840365311e-07,4.38635936461651e-07,5.466901029649307e-07,7.586414829674482e-10,2.806056045301375e-06,4.3474555552758254e-14,7.835403721401235e-07,2.7643042369018822e-11,3.5733231928958276e-09
25.0,8.524603458681668e-07,4.973032332600269e-07,1.3911862595250568e-07,5.250153662927914e-07,7.560585117971641e-07,1.2085406009276767e-09,3.2741986615292262e-06,5.1763972340294895e-14,9.120117852035037e-07,4.009334877985715e-11,4.943258247180893e-09
26.0,9.525670066068415e-07,6.593697889911709e-07,1.480328251091123e-07,5.463078878165106e-07,8.021747817110736e-07,1.4894496747075436e-09,4.395980795379728e-06,6.955211824229493e-14,1.2141139222876518e-06,5.344055059586239e-11,5.962396354419752e-09
27.0,1.049247430273681e-06,7.092608029779512e-07,1.7993343703892606e-07,6.733390591762145e-07,1.0451948355694185e-06,1.6338403963089831e-09,5.435493221739307e-06,7.935462725296161e-14,1.1732616940207663e-06,5.7235327588500695e-11,6.8607901582140585e-09
28.0,1.257368808182946e-06,9.302144690082059e-07,2.0796306898773764e-07,7.186561674643599e-07,1.1050259445255506e-06,1.8651016286952427e-09,5.5082200560718775e-06,9.244193680934404e-14,1.5563771285087569e-06,6.857287654371547e-11,9.675440004741631e-09
29.0,1.2702624871963053e-06,1.1115408824480255e-06,2.3677665694776806e-07,1.0636592833179748e-06,1.1354488833603682e-06,2.6767028593610576e-09,6.3710617723700125e-06,1.1141522410608798e-13,1.7416039099771297e-06,8.088104491710268e-11,1.018784168138609e-08
30.0,1.6041943808886572e-06,1.1256730658715242e-06,3.036211637663655e-07,1.028685801429674e-06,1.5207850765364128e-06,3.3232883112077616e-09,6.06055255047977e-06,1.2894339187965315e-13,1.7304470247836434e-06,1.0111217418895535e-10,1.1710343805759749e-08
31.0,1.986049028346315e-06,1.2382703289404162e-06,3.43277235970163e-07,1.3111645102981129e-06,1.61036064127984e-06,3.0529359040798454e-09,7.370361345238052e-06,1.7731943571883818e-13,2.160913027182687e-06,1.3211430560655657e-10,1.4325909347689958e-08
32.0,2.3442594283551443e-06,1.3271788930069306e-06,4.178792494258232e-07,1.4426220786845079e-06,1.8742935026239138e-06,3.918008140146867e-09,9.614826012693811e-06,1.895841204293744e-13,2.1625753561238525e-06,1.4552599403305777e-10,1.8398917944750792e-08
33.0,2.100917299685534e-06,1.5736166005808627e-06,4.1437658637732966e-07,1.6124909052450676e-06,2.3985585357877426e-06,5.2314810261577804e-09,9.960559509636369e-06,2.0457881265770195e-13,2.89933564090461e-06,1.864032816989436e-10,2.493983330964511e-08
34.0,2.640378170326585e-06,1.7843217392510269e-06,4.4445690150496375e-07,1.723063633107813e-06,2.4530602331651608e-06,5.433204552929283e-09,1.2023272574879229e-05,2.786610460610295e-13,3.1777947242517257e-06,2.1946310047038509e-10,2.0357544983085063e-08
35.0,2.910781859100098e-06,1.9835047169181053e-06,5.08608820837253e-07,1.9170797713741194e-06,2.7172750378667843e-06,5.847268003122963e-09,1.3366403436521068e-05,3.0759246603777324e-13,3.50734444509726e-06,2.394503484381971e-10,2.5720902740999918e-08
36.0,3.6381488826009445e-06,2.3619729745405493e-06,6.358251312121865e-07,2.229661959063378e-06,3.0529445211868733e-06,8.363230108443531e-09,1.4181594451656565e-05,3.287195277264232e-13,3.928907972294837e-06,2.5586213703299165e-10,3.082638855289588e-08
37.0,4.2737810872495174e-06,2.5825854663708014e-06,7.543533229181776e-07,2.5801375613809796e-06,3.508075906211161e-06,8.678737728473607e-09,1.500932739872951e-05,4.4574359394505825e-13,4.359038939583115e-06,2.698999357342302e-10,3.6417652893305785e-08
38.0,4.214096861687722e-06,3.16972500513657e-06,8.091695917755715e-07,2.808197223203024e-06,4.06057324653375e-06,1.1180428138857224e-08,2.215427957708016e-05,5.100893665788142e-13,5.8690588957688306e-06,3.513788982001387e-10,4.6205553161371427e-08
39.0,5.537088782148203e-06,3.014416734004044e-06,8.480326414428419e-07,3.2423542961623752e-06,4.048065875394968e-06,1.2414643535407777e-08,2.1807965822517872e-05,5.389101708289101e-13,6.124592800915707e-06,4.438660827776886e-10,4.8708457711654773e-08
40.0,5.6252551985380705e-06,3.5902151012123795e-06,9.369134090775333e-07,3.926709268853301e-06,4.792625077243429e-06,1.3596150871819646e-08,2.1664345695171505e-05,6.965270916460542e-13,5.5609411901969e-06,4.728430980094345e-10,5.9604140290048235e-08
41.0,5.626991878671106e-06,4.364377673482522e-06,1.1464377394077019e-06,3.4083318496413995e-06,5.6682447393541224e-06,1.485935730016763e-08,2.1800145987072028e-05,6.580882757137307e-13,8.061273547355086e-06,4.704428513413461e-10,6.348673764478008e-08
42.0,6.22852121523465e-06,4.459303909243317e-06,1.0781609489640687e-06,4.517230536293937e-06,7.067641490721144e-06,1.5913167672465534e-08,2.5752584406291135e-05,7.628371133557021e-13,9.552928531775251e-06,5.85240800266007e-10,7.715638616900833e-08
43.0,7.143816674215486e-06,4.863138656219235e-06,1.4273929309638334e-06,4.593298854160821e-06,7.189522420958383e-06,1.869451438096803e-08,2.9343114874791354e-05,8.475167182636634e-13,9.474403668718878e-06,6.575359146054893e-10,7.06012457385441e-08
