time,k_ts,k_tl,k_mat,k_cat,k_s,kc_s,k_l,k_tlr,k_m,deg_mrna,deg_tlr
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1.2452137931884266e-10,8.292547898358649e-11,2.108841400116912e-11,8.144447616320605e-11,1.1194165039363213e-10,0.0,5.256904356265579e-10,9.032869157746175e-19,1.431321172695732e-10,0.0,8.492836154391087e-14
5.0,6.222973802927356e-10,4.1442760334575723e-10,1.0539751016391818e-10,4.0708497683894507e-10,5.593965846095728e-10,4.37701090649778e-14,2.625479611495507e-09,6.3204825110243154e-18,7.153126424519485e-10,1.4590644383476572e-15,5.937736196823251e-13
6.0,1.8659642719853764e-09,1.2426839557377889e-09,3.160589290285287e-10,1.2208428712412456e-09,1.677255445642345e-09,2.620399557062836e-13,7.86754039694415e-09,2.4369179251536848e-17,2.1448947062907564e-09,8.75006718557142e-15,2.2876091212292726e-12
7.0,4.351752735942682e-09,2.898199236156529e-09,7.371592780636149e-10,2.8476723201720233e-09,3.911417412183482e-09,9.151145553137896e-13,1.833687335306422e-08,6.946917555848993e-17,5.002322112090951e-09,3.061012408172095e-14,6.5165195288485744e-12
8.0,8.699180931159844e-09,5.79360781571836e-09,1.4736957210104151e-09,5.6934230663330254e-09,7.818480973753594e-09,2.4349237903731336e-12,3.66323931189072e-08,1.6413331966327942e-16,9.999782335512464e-09,8.158673525182972e-14,1.53854359807859e-11
9.0,1.5650746476580935e-08,1.0423473639775693e-08,2.651531660902151e-09,1.0244704640172131e-08,1.4065434150722922e-08,5.466511791840656e-12,6.586402179209472e-08,3.4075399608167575e-16,1.7990863909744803e-08,1.834796014123577e-13,3.191889461073849e-11
10.0,2.6071617753586906e-08,1.736409416253082e-08,4.417353149932524e-09,1.7068749968984775e-08,2.3429347351111574e-08,1.0908975112133845e-11,1.096498252195488e-07,6.433852097293628e-16,2.997020942530071e-08,3.6677819527201894e-13,6.022471410460639e-11
11.0,4.094933458986816e-08,2.7273305391872782e-08,6.93862345357843e-09,2.681327515574594e-08,3.6797064950633285e-08,1.9955851207620334e-11,1.721131184240221e-07,1.1295204468668592e-15,4.7073168474298654e-08,6.720950293699623e-13,1.0565661540118398e-10
12.0,6.139349295608554e-08,4.089027783038546e-08,1.0403540251502363e-08,4.020634847279325e-08,5.516489665069457e-08,3.4134972626276294e-11,2.578796340912959e-07,1.8718657334338036e-15,7.057546724809072e-08,1.1515947700643792e-12,1.7497576998426467e-10
13.0,8.86354456497429e-08,5.9035325961076524e-08,1.502099067351992e-08,5.8056258467331645e-08,7.963831194501836e-08,5.534778538263119e-11,3.7207473724265583e-07,2.960109523627132e-15,1.0189285148953786e-07,1.8704185335977064e-12,2.7651134160144863e-10
14.0,1.2402800564359495e-07,8.26097164008388e-08,2.1020509777258667e-08,8.125135764203151e-08,1.1143163902715969e-07,8.59081417114993e-11,5.203204977988207e-07,4.502686116618143e-15,1.4258074543249677e-07,2.9081051802770652e-12,4.2031989000435033e-10
15.0,1.6904510857784771e-07,1.1259545118491587e-07,2.8652230810166657e-08,1.1075995587361831e-07,1.51867752151702e-07,1.2858054898590154e-10,7.087330686772475e-07,6.628538067417937e-15,1.9433393561030243e-07,4.3600071469862556e-12,6.183438761020454e-10
16.0,2.2528158183376945e-07,1.5005511500021385e-07,3.818685101464325e-08,1.4763016054075706e-07,2.0237776254816708e-07,1.866179710763305e-10,9.439196446692222e-07,9.488870497990302e-15,2.589861765045498e-07,6.338701265262703e-12,8.845689736247664e-10
17.0,2.944527182080492e-07,1.9613160873177549e-07,4.9915573896441856e-08,1.929897450736462e-07,2.6450072709849337e-07,2.6379903816931005e-10,1.2329759329077206e-06,1.325890403193605e-14,3.385099205388542e-07,8.975399416744079e-12,1.2351805134258598e-09
18.0,3.783941338042496e-07,2.520480677503656e-07,6.415008613203099e-08,2.4804603526717983e-07,3.398833428036596e-07,3.6446479168006363e-10,1.583483367539884e-06,1.8139620529397313e-14,4.350159201749193e-07,1.2421349539215587e-11,1.6887189424608096e-09
19.0,4.790613274963107e-07,3.1910752795738517e-07,8.122248829067757e-08,3.140857813832554e-07,4.302796412503085e-07,4.935549191564803e-10,2.0035063243994955e-06,2.4359512210093623e-14,5.507529294845881e-07,1.6849235548455077e-11,2.266233645187299e-09
20.0,5.985294251331652e-07,3.9869283341431583e-07,1.0148526996545115e-07,3.924749023553886e-07,5.375506475502334e-07,6.566435728494469e-10,2.5015890514623607e-06,3.2176311718116676e-14,6.881072636133467e-07,2.245457118854599e-11,2.991437320076784e-09
21.0,7.389928668999346e-07,4.922663947581896e-07,1.2531127424608712e-07,4.846585852646967e-07,6.636641955992673e-07,8.599745360271527e-10,3.0867536224832293e-06,4.1878735315735785e-14,8.496026566717774e-07,2.9457096484275525e-11,3.890856969945844e-09
22.0,9.027652367876726e-07,6.013700613038964e-07,1.5309360890114476e-07,5.921608590142569e-07,8.106944733299315e-07,1.1104960284669119e-09,3.7684969811380142e-06,5.378820828951143e-14,1.0378997785664978e-06,3.810216031574498e-11,4.993986113532856e-09
23.0,1.0922786941591767e-06,7.276248652487993e-07,1.85245681905144e-07,7.16584793281072e-07,9.808217100726324e-07,1.4158951788800778e-09,4.556788098852849e-06,6.826059628563946e-14,1.2557958370962297e-06,4.8662091717277534e-11,6.333435553784739e-09
24.0,1.310083916905569e-06,8.727308227207686e-07,2.2220106643544568e-07,8.596119869253016e-07,1.1763321481339517e-06,1.7846315536473867e-09,5.462065018946305e-06,8.568791970463632e-14,1.5062245211083791e-06,6.143761194232766e-11,7.94508103751923e-09
25.0,1.558849817229202e-06,1.0384667348262155e-06,2.644135292939609e-07,1.0230028237856459e-06,1.3996175312058767e-06,2.2259707410654528e-09,6.495232355518965e-06,1.0650007487228788e-13,1.7922551478477544e-06,7.675915458804639e-11,9.868212913488605e-09
26.0,1.841362745835795e-06,1.2266900739632547e-06,3.1235694564202277e-07,1.2085959042451577e-06,1.653174535931612e-06,2.7500168808813896e-09,7.667660611332394e-06,1.3116654843433467e-13,2.1170931177039165e-06,9.498830194631935e-11,1.2145683569997345e-08
27.0,2.1605269466817845e-06,1.4393367564480286e-06,3.665252847895317e-07,1.4183084431351745e-06,1.939604999279254e-06,3.3677460820058513e-09,8.9911782197305e-06,1.601981486918161e-13,2.4840785499691265e-06,1.1651909992416165e-10,1.482405309616297e-08
28.0,2.5193639885401353e-06,1.6784208582976134e-06,4.274325533515366e-07,1.6541356444577104e-06,2.2616156911681173e-06,4.0910368426239074e-09,1.0478076546860393e-05,1.94148665785647e-13,2.8966871923330473e-06,1.417794215363699e-10,1.795373449908766e-08
29.0,2.9210118555056397e-06,1.9460344446997624e-06,4.956127099831065e-07,1.9181509287591325e-06,2.6220166091661667e-06,4.9327031348411765e-09,1.2141100341978017e-05,2.3361659286756653e-13,3.3585286018933402e-06,1.7123234774540919e-10,2.158913936511908e-08
30.0,3.368725629115943e-06,2.244347797386581e-06,5.716197506444587e-07,2.2125052510091336e-06,3.0237231385399355e-06,5.906524602750096e-09,1.3993448192195501e-05,2.792468404948234e-13,3.87334739571088e-06,2.0537754830129984e-10,2.5788819968397547e-08
31.0,3.865876351483166e-06,2.575608505139826e-06,6.56027566492412e-07,2.5394276690349216e-06,3.4697536648309324e-06,7.027276982540798e-09,1.6048770703491755e-05,3.317324442485975e-13,4.445021204446675e-06,2.4475252380362633e-10,3.061561315576e-08
32.0,4.415951934788609e-06,2.9421416911645792e-06,7.494297733501298e-07,2.9012251161475433e-06,3.963229573855642e-06,8.310762744656586e-09,1.832116504374426e-05,3.918161639322043e-13,5.077562036603922e-06,2.8993407674704486e-10,3.613677534985982e-08
33.0,5.022554432798643e-06,3.346349558341899e-06,8.524399959242146e-07,3.3002813779603457e-06,4.507376161200227e-06,9.773841291860208e-09,2.0825174942729063e-05,4.602922860572067e-13,5.775115369033301e-06,3.4153957439997384e-10,4.242413709221182e-08
34.0,5.689402769348817e-06,3.7907120713498443e-06,9.656915835876134e-07,3.7390582292573527e-06,5.1055212679784745e-06,1.1434457825032496e-08,2.3575788873131387e-05,5.380081688315108e-13,6.5419581005699e-06,4.0022829495001133e-10,4.955422738817106e-08
35.0,6.420330464607105e-06,4.277785592421424e-06,1.0898374966927804e-06,4.220094069751212e-06,5.761095053458121e-06,1.3311669988524955e-08,2.6588433684082702e-05,6.258661124081133e-13,7.382501735264668e-06,4.667028430382913e-10,5.760841759183677e-08
36.0,7.219285635073902e-06,4.810202881344594e-06,1.225550590788771e-06,4.74600528832525e-06,6.477629995060852e-06,1.5425682065028923e-08,2.987897278217133e-05,7.248248225580345e-13,8.30128828965826e-06,5.417102877380842e-10,6.667305996188588e-08
37.0,8.090330993582029e-06,5.390673777583288e-06,1.3735232187173096e-06,5.319484898791416e-06,7.2587604336149525e-06,1.7797864515500805e-08,3.3463707950431854e-05,8.359012267089572e-13,9.302993021265138e-06,6.260436613558795e-10,7.683962621740648e-08
38.0,9.03764521353878e-06,6.021984518156387e-06,1.5344675148298847e-06,5.9433018577692565e-06,8.108221663860604e-06,2.045078950629886e-08,3.735937207238749e-05,9.601720460383767e-13,1.0392422154836822e-05,7.205432916990162e-10,8.820483543559021e-08
39.0,1.0065517017210368e-05,6.70699728289037e-06,1.7091149402403971e-06,6.620302428927971e-06,9.02985266293399e-06,2.3408256666357374e-08,4.158313095103949e-05,1.0987754759869683e-12,1.1574512427614536e-05,8.260979678098579e-10,1.0087079971299318e-07
40.0,1.1178351996932179e-05,7.448649739671964e-06,1.8982166238856735e-06,7.353410637733759e-06,1.0027590178651735e-05,2.669531262711189e-08,4.615256693796255e-05,1.2529129209820633e-12,1.285433245357126e-05,9.436463832557251e-10,1.1494513785237359e-07
41.0,1.238066852238262e-05,8.249956408690196e-06,2.1025432488386286e-06,8.145624633471016e-06,1.1105473276984412e-05,3.0338284773279156e-08,5.108570258016698e-05,1.4238505123206902e-12,1.4237080904422328e-05,1.0741783018630713e-09,1.3054113878752105e-07
42.0,1.367709683108842e-05,9.114005479204934e-06,2.322884938621428e-06,9.000021236715838e-06,1.2267641977814492e-05,3.4364809664566565e-08,5.640097151626833e-05,1.6129208428930508e-12,1.5728086509625427e-05,1.2187360010074144e-09,1.4777783974295744e-07
43.0,1.5072381756908726e-05,1.0043962902273051e-05,2.560050688771298e-06,9.919750482367817e-06,1.3518334526452236e-05,3.880384369381318e-08,6.211722939042374e-05,1.8215247019059966e-12,1.7332809875370003e-05,1.378415603880967e-09,1.6678023939675768e-07
