Year,Team,Wiki,Region,Country,Track,Kind
2020,Aachen,http://2020.igem.org/Team:Aachen,Europe,Germany,Foundational Advance,Collegiate
2020,Aalto-Helsinki,http://2020.igem.org/Team:Aalto-Helsinki,Europe,Finland,Environment,Collegiate
2020,AFCM-Egypt,http://2020.igem.org/Team:AFCM-Egypt,Africa,Egypt,Therapeutics,Collegiate
2020,AHUT-ZJU-China,http://2020.igem.org/Team:AHUT-ZJU-China,Asia,China,Environment,Collegiate
2020,Aix-Marseille,http://2020.igem.org/Team:Aix-Marseille,Europe,France,Environment,Collegiate
2020,Alma,http://2020.igem.org/Team:Alma,North America,United States,Environment,Collegiate
2020,Amsterdam,http://2020.igem.org/Team:Amsterdam,Europe,Netherlands,Information Processing,Collegiate
2020,AshesiGhana,http://2020.igem.org/Team:AshesiGhana,Africa,Ghana,Environment,Collegiate
2020,ASTWS-China,http://2020.igem.org/Team:ASTWS-China,Asia,China,High School,High School
2020,Athens,http://2020.igem.org/Team:Athens,Europe,Greece,Manufacturing,Collegiate
2020,AUC-EGYPT,http://2020.igem.org/Team:AUC-EGYPT,Africa,Egypt,Therapeutics,Collegiate
2020,Austin_UTexas,http://2020.igem.org/Team:Austin_UTexas,North America,United States,Diagnostics,Collegiate
2020,Baltimore_BioCrew,http://2020.igem.org/Team:Baltimore_BioCrew,North America,United States,High School,High School
2020,Beijing_4ELEVEN,http://2020.igem.org/Team:Beijing_4ELEVEN,Asia,China,High School,High School
2020,BGU-Israel,http://2020.igem.org/Team:BGU-Israel,Asia,Israel,Environment,Collegiate
2020,BHSF,http://2020.igem.org/Team:BHSF,Asia,China,High School,High School
2020,Bielefeld-CeBiTec,http://2020.igem.org/Team:Bielefeld-CeBiTec,Europe,Germany,Diagnostics,Collegiate
2020,BIT,http://2020.igem.org/Team:BIT,Asia,China,Diagnostics,Collegiate
2020,BIT-China,http://2020.igem.org/Team:BIT-China,Asia,China,Manufacturing,Collegiate
2020,BITSPilani-Goa_India,http://2020.igem.org/Team:BITSPilani-Goa_India,Asia,India,Food & Nutrition,Collegiate
2020,BJ101HS,http://2020.igem.org/Team:BJ101HS,Asia,China,High School,High School
2020,BNDS_China,http://2020.igem.org/Team:BNDS_China,Asia,China,High School,High School
2020,BNU-China,http://2020.igem.org/Team:BNU-China,Asia,China,Foundational Advance,Collegiate
2020,BOKU-Vienna,http://2020.igem.org/Team:BOKU-Vienna,Europe,Austria,Therapeutics,Collegiate
2020,Botchan_Lab_Tokyo,http://2020.igem.org/Team:Botchan_Lab_Tokyo,Asia,Japan,Environment,Collegiate
2020,Brno_Czech_Republic,http://2020.igem.org/Team:Brno_Czech_Republic,Europe,Czech Republic,Environment,Collegiate
2020,BUCT,http://2020.igem.org/Team:BUCT,Asia,China,Environment,Collegiate
2020,BUCT-China,http://2020.igem.org/Team:BUCT-China,Asia,China,Environment,Collegiate
2020,Calgary,http://2020.igem.org/Team:Calgary,North America,Canada,Food & Nutrition,Collegiate
2020,CAU_China,http://2020.igem.org/Team:CAU_China,Asia,China,Environment,Collegiate
2020,CCA_San_Diego,http://2020.igem.org/Team:CCA_San_Diego,North America,United States,High School,High School
2020,CCU_Taiwan,http://2020.igem.org/Team:CCU_Taiwan,Asia,Taiwan,Diagnostics,Collegiate
2020,Chalmers-Gothenburg,http://2020.igem.org/Team:Chalmers-Gothenburg,Europe,Sweden,Environment,Collegiate
2020,CLS_CLSG_UK,http://2020.igem.org/Team:CLS_CLSG_UK,Europe,United Kingdom,High School,High School
2020,Concordia-Montreal,http://2020.igem.org/Team:Concordia-Montreal,North America,Canada,Software,Collegiate
2020,Cornell,http://2020.igem.org/Team:Cornell,North America,United States,Therapeutics,Collegiate
2020,CPU_CHINA,http://2020.igem.org/Team:CPU_CHINA,Asia,China,Therapeutics,Collegiate
2020,CSMU_Taiwan,http://2020.igem.org/Team:CSMU_Taiwan,Asia,Taiwan,Diagnostics,Collegiate
2020,CSU_CHINA,http://2020.igem.org/Team:CSU_CHINA,Asia,China,Environment,Collegiate
2020,CU-Boulder,http://2020.igem.org/Team:CU-Boulder,North America,United States,Environment,Collegiate
2020,DeNovocastrians,http://2020.igem.org/Team:DeNovocastrians,Asia,Australia,Environment,Collegiate
2020,DNHS_SanDiego_CA,http://2020.igem.org/Team:DNHS_SanDiego_CA,North America,United States,High School,High School
2020,DTU-Denmark,http://2020.igem.org/Team:DTU-Denmark,Europe,Denmark,Manufacturing,Collegiate
2020,Duesseldorf,http://2020.igem.org/Team:Duesseldorf,Europe,Germany,Environment,Collegiate
2020,DUT_China,http://2020.igem.org/Team:DUT_China,Asia,China,Foundational Advance,Collegiate
2020,ECNUAS,http://2020.igem.org/Team:ECNUAS,Asia,China,High School,High School
2020,ECUST_China,http://2020.igem.org/Team:ECUST_China,Asia,China,New Application,Collegiate
2020,Edinburgh,http://2020.igem.org/Team:Edinburgh,Europe,United Kingdom,Environment,Collegiate
2020,EPFL,http://2020.igem.org/Team:EPFL,Europe,Switzerland,Food & Nutrition,Collegiate
2020,Estonia_TUIT,http://2020.igem.org/Team:Estonia_TUIT,Europe,Estonia,Manufacturing,Collegiate
2020,Evry_Paris-Saclay,http://2020.igem.org/Team:Evry_Paris-Saclay,Europe,France,New Application,Collegiate
2020,Exeter,http://2020.igem.org/Team:Exeter,Europe,United Kingdom,Environment,Collegiate
2020,FAFU-CHINA,http://2020.igem.org/Team:FAFU-CHINA,Asia,China,New Application,Collegiate
2020,FCB-UANL,http://2020.igem.org/Team:FCB-UANL,Latin America,Mexico,Environment,Collegiate
2020,FDR-HB_Peru,http://2020.igem.org/Team:FDR-HB_Peru,Latin America,Peru,High School,High School
2020,FSU,http://2020.igem.org/Team:FSU,North America,United States,Environment,Collegiate
2020,Fudan,http://2020.igem.org/Team:Fudan,Asia,China,Food & Nutrition,Collegiate
2020,Gaston_Day_School,http://2020.igem.org/Team:Gaston_Day_School,North America,United States,Environment,Collegiate
